# Plan Redakcyjny Bloga — 90 Dni / 252 Artykuły

> **Styl:** Głęboki + poradnikowy | **Częstotliwość:** 3 artykuły dziennie, 7 dni w tygodniu
> **Pillar topics:** Biznes & Startupy · Technologia & AI · Muzyka & Audio · Creator Economy · Marketing & Branding · Lifestyle & Kultura Cyfrowa · Tech & Produkty

---

## Kategorie Tematyczne

### 1. Biznes & Startupy (`#biznes`)
Zakładanie firmy, finansowanie, strategie wzrostu, zarządzanie, unit economics, exit, bootstrapping, skalowanie, modele przychodów, zatrudnianie, kultura organizacyjna, pitch, due diligence, partnerstwa, cash flow.

### 2. Technologia & AI (`#ai`)
Modele językowe, generatywna AI, prompt engineering, automatyzacja, AI w branżach (medycyna, prawo, finanse, HR, edukacja), etyka AI, AGI, deepfake, computer vision, ML, AI agenci, multimodal.

### 3. Muzyka & Audio (`#muzyka`)
Dystrybucja muzyki, streaming, sync licensing, produkcja domowa, mastering, live performance, A&R, muzyczne tech startupy, psychologia muzyki, historia gatunków, ekonomia streamingu, playlist pitching, muzyka generatywna.

### 4. Creator Economy (`#creator`)
Monetyzacja wiedzy, budowanie publiczności, narzędzia twórcze, wypalenie twórcze, kursy online, newslettery, community building, paid subscriptions, dane własne, brand osobisty, affiliate, cohort courses.

### 5. Marketing & Branding (`#marketing`)
Storytelling, SEO, copywriting, growth hacking, brand positioning, email marketing, content marketing, UGC, influencer marketing, performance marketing, rebranding, neuromarketing, dark social, brand voice.

### 6. Lifestyle & Kultura Cyfrowa (`#lifestyle`)
Digital minimalism, deep work, nomadyzm cyfrowy, ekonomia subskrypcji, wellness tech, kultura meme, secondhand economy, slow content, prywatność online, finanse osobiste twórcy, fandom, kultura Y2K, analog revival.

### 7. Tech & Produkty (`#tech`)
SaaS vs jednorazowy zakup, no-code, PWA vs natywna app, open source, API bez kodu, edge computing, WebAssembly, hosting, szyfrowanie, CDN, blockchain, bazy danych, accessibility, Web Workers, SSR.

---

## Statystyki Planu

| Parametr | Wartość |
|---|---|
| Łączna liczba artykułów | 252 |
| Liczba dni | 90 |
| Artykuły dziennie | 3 |
| Tygodni | 13 |
| Pillarów tematycznych | 7 |
| Artykułów per pillar | ~36 |
| Miesiące | 3 |

---

## Miesiąc 1 — Fundament i Konteksty (Dni 1–30)

> **Cel:** Budowanie kontekstu tematycznego, wprowadzenie czytelnika w każdy pillar, artykuły "fundamentalne" które będą linkowane przez resztę kalendarza.

---

### Tydzień 1 (Dni 1–7)

| Dzień | Artykuł nr | Pillar | Tytuł |
|---|---|---|---|
| 1 | 1 | #biznes | Dlaczego 90% startupów upada w 3. roku — i co zrobić inaczej |
| 1 | 2 | #ai | Jak ChatGPT zmienił rynek pracy w ciągu 2 lat — dane i wnioski |
| 1 | 3 | #muzyka | Jak niezależny artysta zarabia dziś bez wytwórni — pełny breakdown |
| 2 | 4 | #creator | Od 0 do 10k followersów w 6 miesięcy — co naprawdę działa |
| 2 | 5 | #marketing | Brand positioning krok po kroku — jak znaleźć miejsce na zatłoczonym rynku |
| 2 | 6 | #lifestyle | Digital minimalism w 2026 — jak odzyskać uwagę w świecie notyfikacji |
| 3 | 7 | #tech | Jak działa model językowy LLM — wyjaśnienie bez technicznego żargonu |
| 3 | 8 | #biznes | Lean startup vs Full funding — który model budowania firmy ma sens w 2026 |
| 3 | 9 | #ai | Prompt engineering dla niespecjalistów — 10 technik, które zmieniają wyniki AI |
| 4 | 10 | #muzyka | Streaming nie płaci — alternatywne modele zarabiania dla muzyków |
| 4 | 11 | #creator | Jak zbudować newsletter, który ludzie naprawdę czytają |
| 4 | 12 | #marketing | Storytelling marki — dlaczego fakty nie przekonują, a historia tak |
| 5 | 13 | #lifestyle | Slow content — trend, który wygrał z algorytmem |
| 5 | 14 | #tech | SaaS vs jednorazowy zakup — co się opłaca użytkownikom i twórcom |
| 5 | 15 | #biznes | Jak wycenić swój produkt cyfrowy — psychologia ceny i matematyka marży |
| 6 | 16 | #ai | AI w rekrutacji — jak algorytmy wybierają kandydatów i jak to obejść |
| 6 | 17 | #muzyka | Sync licensing — jak zarabiać na muzyce w filmach, grach i reklamach |
| 6 | 18 | #creator | Paywalle czy darmowy content — strategie monetyzacji porównane |
| 7 | 19 | #marketing | SEO w 2026 — co się zmieniło po AI Overview i jak pisać dla ludzi i robotów |
| 7 | 20 | #lifestyle | Praca głęboka (deep work) w erze rozproszonej uwagi — przewodnik praktyczny |
| 7 | 21 | #tech | Open source vs proprietary — jak wybrać narzędzia dla swojego projektu |

---

### Tydzień 2 (Dni 8–14)

| Dzień | Artykuł nr | Pillar | Tytuł |
|---|---|---|---|
| 8 | 22 | #biznes | Bootstrapping — jak budować firmę bez inwestora i nie zwariować |
| 8 | 23 | #ai | Jak AI generuje muzykę — Suno, Udio i co to znaczy dla branży |
| 8 | 24 | #muzyka | Playlisting na Spotify — algorytm, pitching i strategie wejścia |
| 9 | 25 | #creator | Jak zarabiać na Substack — model, który zmienia media niezależne |
